1f468 200d 1f469 200d 1f467 200d 1f467     ; family_man_woman_girl_girl    ; 👨‍👩‍👧‍👧
1f468 200d 1f468 200d 1f467 200d 1f466     ; family_man_man_girl_boy       ; 👨‍👨‍👧‍👦
1f926 200d 2642 fe0f                       ; man_facepalming               ; 🤦‍♂️
1f9da 200d 2642 fe0f                       ; man_fairy                     ; 🧚‍♂️
1f647 200d 2640 fe0f                       ; bowing_woman                  ; 🙇‍♀️
1f482 200d 2640 fe0f                       ; guardswoman                   ; 💂‍♀️
1f468 200d 1f3eb                           ; man_teacher                   ; 👨‍🏫
1f469 200d 1f469 200d 1f467 200d 1f466     ; family_woman_woman_girl_boy   ; 👩‍👩‍👧‍👦
1f468 200d 2696 fe0f                       ; man_judge                     ; 👨‍⚖️
1f937 200d 2642 fe0f                       ; man_shrugging                 ; 🤷‍♂️
1f469 200d 1f467 200d 1f466                ; family_woman_girl_boy         ; 👩‍👧‍👦
1f938 200d 2640 fe0f                       ; woman_cartwheeling            ; 🤸‍♀️
1f469 200d 1f469 200d 1f467 200d 1f467     ; family_woman_woman_girl_girl  ; 👩‍👩‍👧‍👧
1f468 200d 1f468 200d 1f467 200d 1f467     ; family_man_man_girl_girl      ; 👨‍👨‍👧‍👧
1f3f4 200d 2620 fe0f                       ; pirate_flag                   ; 🏴‍☠️
1f473 200d 2640 fe0f                       ; woman_with_turban             ; 👳‍♀️
1f468 200d 1f527                           ; man_mechanic                  ; 👨‍🔧
1f9d6 200d 2642 fe0f                       ; man_in_steamy_room            ; 🧖‍♂️
1f939 200d 2640 fe0f                       ; woman_juggling                ; 🤹‍♀️
1f64d 200d 2642 fe0f                       ; frowning_man                  ; 🙍‍♂️
1f468 200d 1f468 200d 1f466                ; family_man_man_boy            ; 👨‍👨‍👦
1f469 200d 1f680                           ; woman_astronaut               ; 👩‍🚀
1f468 200d 1f680                           ; man_astronaut                 ; 👨‍🚀
1f9dc 200d 2642 fe0f                       ; merman                        ; 🧜‍♂️
1f3f3 fe0f 200d 1f308                      ; rainbow_flag                  ; 🏳️‍🌈
1f469 200d 1f4bb                           ; woman_technologist            ; 👩‍💻
1f468 200d 1f468 200d 1f467                ; family_man_man_girl           ; 👨‍👨‍👧
1f468 200d 1f393                           ; man_student                   ; 👨‍🎓
1f468 200d 1f469 200d 1f467                ; family_man_woman_girl         ; 👨‍👩‍👧
1f93d 200d 2640 fe0f                       ; woman_playing_water_polo      ; 🤽‍♀️
1f469 200d 1f3a4                           ; woman_singer                  ; 👩‍🎤
1f93c 200d 2642 fe0f                       ; men_wrestling                 ; 🤼‍♂️
1f93d 200d 2642 fe0f                       ; man_playing_water_polo        ; 🤽‍♂️
1f9b9 200d 2640 fe0f                       ; woman_supervillain            ; 🦹‍♀️
1f64b 200d 2642 fe0f                       ; raising_hand_man              ; 🙋‍♂️
1f468 200d 1f3ed                           ; man_factory_worker            ; 👨‍🏭
1f469 200d 1f3ed                           ; woman_factory_worker          ; 👩‍🏭
1f6b6 200d 2640 fe0f                       ; walking_woman                 ; 🚶‍♀️
1f9d8 200d 2642 fe0f                       ; man_in_lotus_position         ; 🧘‍♂️
1f468 200d 1f52c                           ; man_scientist                 ; 👨‍🔬
1f469 200d 1f3eb                           ; woman_teacher                 ; 👩‍🏫
1f468 200d 1f467 200d 1f467                ; family_man_girl_girl          ; 👨‍👧‍👧
1f469 200d 2764 fe0f 200d 1f48b 200d 1f469 ; couplekiss_woman_woman        ; 👩‍❤️‍💋‍👩
1f3c4 200d 2640 fe0f                       ; surfing_woman                 ; 🏄‍♀️
1f469 200d 1f33e                           ; woman_farmer                  ; 👩‍🌾
